ticket_id,product,priority,status,short_description,description,closed_notes
TKT-00086,Smartsheet,P1,Closed,display malfunction preventing work,display malfunction preventing work. User reports keyboard broken affecting productivity.,Fixed charger damaged. Tested successfully with user.
TKT-00087,Smartsheet,P2,Closed,version error when attempting update,version error when attempting update. Error occurs when attempting to configure. software and upgrade and install also affected.,Escalated to specialist team. Resolution: upgrade reconfigured.
TKT-00088,Outlook,P3,Closed,Request installation configure assistance,Request installation configure assistance. This is impacting project deadlines.,Deployed patch. Issue no longer occurring.
TKT-00089,Teams,P4,Closed,locked locked preventing access to Teams,locked locked preventing access to Teams. User has tried reinstalling without success.,Escalated to vendor support. Resolution: account updated.
TKT-00090,Smartsheet,P3,Closed,Need replacement printer,Need replacement printer. User reports keyboard damaged affecting productivity.,Fixed hardware damaged. Tested successfully with user.
TKT-00091,PowerBI,P2,Closed,Experiencing unresponsive problem with PowerBI,Experiencing unresponsive problem with PowerBI. User has tried updating without success.,Fixed unresponsive issue. Tested successfully with user.
TKT-00092,Smartsheet,P3,Closed,Permission denied when edit download,Permission denied when edit download. User reports share failure affecting productivity.,Corrected sync missing. Tested successfully with user.
TKT-00093,Smartsheet,P4,Closed,Experiencing delay problem with Smartsheet,Experiencing delay problem with Smartsheet. Error occurs when attempting to loading. performance also affected.,Resolved by reinstalling delay. User confirmed fixed.
TKT-00094,Teams,P3,Closed,Teams loading when loading,Teams loading when loading. User has tried restarting without success.,Applied configuration change. Issue no longer occurring.
TKT-00095,Smartsheet,P4,Closed,analytics not create correctly,analytics not create correctly. User reports report missing affecting productivity.,Resolved by reinstalling analytics. User confirmed working.
TKT-00096,Email,P4,Closed,Email loading and issue,Email loading and issue. User reports loading problem affecting productivity.,Fixed freeze problem. Tested successfully with user.
TKT-00097,OneDrive,P2,Closed,Issue with out-of-office permissions,Issue with out-of-office permissions. Error occurs when attempting to receive. calendar also affected.,Applied configuration change. Issue no longer occurring.
TKT-00098,Teams,P3,Closed,User unable to access due to locked credential,User unable to access due to locked credential. Error occurs when attempting to reset. reset and two-factor also affected.,Applied patch. Issue no longer occurring.
TKT-00099,Smartsheet,P2,Closed,Cannot connect due to latency timeout,Cannot connect due to latency timeout. This is impacting team collaboration.,Corrected disconnect dropped. Tested successfully with user.
TKT-00100,OneDrive,P2,Closed,hardware failure requiring support,hardware failure requiring support. This is impacting team collaboration.,Implemented fix. Issue no longer occurring.
TKT-00101,Teams,P1,Closed,Request access to sync in Teams,Request access to sync in Teams. Error occurs when attempting to move. collaborate also affected.,Resolved by reconfiguring sync. User confirmed working.
TKT-00102,Excel,P2,Closed,User unable to unlock due to issue account,User unable to unlock due to issue account. This is impacting project deadlines.,Resolved by resetting account. User confirmed fixed.
TKT-00103,Email,P1,Closed,User unable to access due to locked login,User unable to access due to locked login. User has tried updating without success.,Resolved unlock problem. Tested successfully with user.
TKT-00104,Smartsheet,P2,Closed,Request version configure assistance,Request version configure assistance. This is impacting daily workflow.,Escalated to vendor support. Resolution: software replaced.
TKT-00105,Email,P3,Closed,Email freeze and problem,Email freeze and problem. User reports performance issue affecting productivity.,Escalated to tier 2. Resolution: hang reconfigured.
TKT-00106,Email,P2,Closed,send not forward properly,send not forward properly. Error occurs when attempting to forward. out-of-office and attachment also affected.,Implemented patch. Issue no longer occurring.
TKT-00107,Smartsheet,P4,Closed,Request access to permission in Smartsheet,Request access to permission in Smartsheet. User has tried clearing cache without success.,Fixed share failure. Tested successfully with user.
TKT-00108,Smartsheet,P1,Closed,Permission denied when edit document,Permission denied when edit document. Error occurs when attempting to upload. sync and download also affected.,Fixed document failure. Tested successfully with user.
TKT-00109,Smartsheet,P1,Closed,Smartsheet hang and performance,Smartsheet hang and performance. Error occurs when attempting to searching. performance and crash also affected.,Corrected slow problem. Tested successfully with user.
TKT-00110,Outlook,P4,Closed,denied error when trying to move,denied error when trying to move. Error occurs when attempting to access. document and upload also affected.,Resolved by reinstalling denied. User confirmed fixed.
TKT-00111,Teams,P3,Closed,User unable to access due to locked locked,User unable to access due to locked locked. User reports MFA issue affecting productivity.,Escalated to specialist team. Resolution: reset updated.
TKT-00112,Excel,P2,Closed,expired error preventing access to Excel,expired error preventing access to Excel. User has tried clearing cache without success.,Resolved by resetting expired. User confirmed resolved.
TKT-00113,OneDrive,P3,Closed,Cannot open OneDrive on phone device,Cannot open OneDrive on phone device. User reports mobile problem affecting productivity.,Corrected tablet failure. Tested successfully with user.
TKT-00114,PowerBI,P4,Closed,report error in PowerBI,report error in PowerBI. User reports data incomplete affecting productivity.,Applied patch. Issue no longer occurring.
TKT-00115,Outlook,P1,Closed,Seeking guide for new Outlook feature,Seeking guide for new Outlook feature. This is impacting team collaboration.,Resolved by updating guide. User confirmed resolved.
TKT-00116,SharePoint,P1,Closed,Need help with authentication problem,Need help with authentication problem. User has tried clearing cache without success.,Resolved by resetting authentication. User confirmed fixed.
TKT-00117,Teams,P2,Closed,Issue with sync delivery,Issue with sync delivery. User has tried reinstalling without success.,Corrected out-of-office delivery. Tested successfully with user.
TKT-00118,Outlook,P4,Closed,Application unresponsive during normal use,Application unresponsive during normal use. This is impacting team collaboration.,Escalated to vendor support. Resolution: unresponsive updated.
TKT-00119,Smartsheet,P4,Closed,Request to login login for user account,Request to login login for user account. Error occurs when attempting to access. expired and locked also affected.,Resolved by reconfiguring login. User confirmed working.
TKT-00120,OneDrive,P1,Closed,firewall failure affecting OneDrive access,firewall failure affecting OneDrive access. This is impacting team collaboration.,Fixed offline timeout. Tested successfully with user.
TKT-00121,Teams,P4,Closed,two-factor problem preventing access to Teams,two-factor problem preventing access to Teams. This is impacting daily workflow.,Escalated to specialist team. Resolution: locked updated.
TKT-00122,Email,P2,Closed,connectivity timeout affecting Email access,connectivity timeout affecting Email access. Error occurs when attempting to establish. VPN also affected.,Applied fix. Issue no longer occurring.
TKT-00123,Outlook,P3,Closed,Request to login unlock for user account,Request to login unlock for user account. User reports MFA failure affecting productivity.,Deployed configuration change. Issue no longer occurring.
TKT-00124,Smartsheet,P4,Closed,Smartsheet unavailable due to connection problem,Smartsheet unavailable due to connection problem. Error occurs when attempting to connect. disconnect also affected.,Escalated to tier 2. Resolution: connection reconfigured.
TKT-00125,PowerBI,P2,Closed,Request access to upload in PowerBI,Request access to upload in PowerBI. Error occurs when attempting to edit. share also affected.,Implemented patch. Issue no longer occurring.
TKT-00126,Excel,P3,Closed,User unable to unlock due to failure account,User unable to unlock due to failure account. Error occurs when attempting to authenticate. MFA also affected.,Escalated to tier 2. Resolution: expired updated.
TKT-00127,Smartsheet,P1,Closed,Need assistance with out-of-office send,Need assistance with out-of-office send. Error occurs when attempting to send. send and delegate and sync also affected.,Applied configuration change. Issue no longer occurring.
TKT-00128,Email,P4,Closed,peripheral not responding properly,peripheral not responding properly. This is impacting project deadlines.,Escalated to specialist team. Resolution: hardware replaced.
TKT-00129,Teams,P4,Closed,download error when trying to upload,download error when trying to upload. Error occurs when attempting to delete. sync also affected.,Resolved by resetting download. User confirmed fixed.
TKT-00130,Smartsheet,P3,Closed,Cannot connect due to timeout blocked,Cannot connect due to timeout blocked. Error occurs when attempting to access. VPN also affected.,Resolved VPN error. Tested successfully with user.
TKT-00131,OneDrive,P3,Closed,Permission denied when delete permission,Permission denied when delete permission. User has tried restarting without success.,Deployed configuration change. Issue no longer occurring.
TKT-00132,OneDrive,P1,Closed,application compatibility when attempting activate,application compatibility when attempting activate. This is impacting client communication.,Resolved by reconfiguring application. User confirmed working.
TKT-00133,OneDrive,P4,Closed,Intermittent connection failure,Intermittent connection failure. This is impacting daily workflow.,Corrected latency dropped. Tested successfully with user.
TKT-00134,OneDrive,P4,Closed,Request access to folder in OneDrive,Request access to folder in OneDrive. Error occurs when attempting to access. sync and permission also affected.,Resolved by resetting folder. User confirmed fixed.
TKT-00135,Outlook,P4,Closed,firewall timeout affecting Outlook access,firewall timeout affecting Outlook access. Error occurs when attempting to establish. offline and connectivity also affected.,Applied patch. Issue no longer occurring.
TKT-00136,SharePoint,P3,Closed,Permission denied when access denied,Permission denied when access denied. This is impacting project deadlines.,Deployed fix. Issue no longer occurring.
TKT-00137,OneDrive,P3,Closed,Cannot view analytics from OneDrive,Cannot view analytics from OneDrive. User reports filter outdated affecting productivity.,Resolved by reconfiguring analytics. User confirmed fixed.
TKT-00138,PowerBI,P2,Closed,Need assistance with delegate receive,Need assistance with delegate receive. User reports receive permissions affecting productivity.,Escalated to vendor support. Resolution: calendar updated.
TKT-00139,PowerBI,P2,Closed,Issue with out-of-office delivery,Issue with out-of-office delivery. User reports sync delivery affecting productivity.,Resolved meeting loading. Tested successfully with user.
TKT-00140,PowerBI,P2,Closed,sync not delete properly,sync not delete properly. User has tried updating without success.,Fixed attachment loading. Tested successfully with user.
TKT-00141,Outlook,P4,Closed,issue during license process,issue during license process. This is impacting team collaboration.,Escalated to specialist team. Resolution: application reconfigured.
TKT-00142,SharePoint,P1,Closed,laptop malfunction preventing work,laptop malfunction preventing work. Error occurs when attempting to functioning. peripheral and charger and hardware also affected.,Resolved by reinstalling laptop. User confirmed fixed.
TKT-00143,SharePoint,P4,Closed,Cannot update export from SharePoint,Cannot update export from SharePoint. User has tried restarting without success.,Resolved query error. Tested successfully with user.
TKT-00144,Email,P3,Closed,Permission denied when upload sync,Permission denied when upload sync. Error occurs when attempting to move. file and access also affected.,Resolved by resetting sync. User confirmed working.
TKT-00145,Email,P2,Closed,Permission denied when delete share,Permission denied when delete share. User reports folder failure affecting productivity.,Implemented update. Issue no longer occurring.
TKT-00146,OneDrive,P4,Closed,login issue preventing access to OneDrive,login issue preventing access to OneDrive. User has tried updating without success.,Resolved by reinstalling login. User confirmed resolved.
TKT-00147,PowerBI,P3,Closed,Application crash during normal use,Application crash during normal use. User has tried clearing cache without success.,Escalated to tier 2. Resolution: freeze replaced.
TKT-00148,Excel,P2,Closed,Request access to download in Excel,Request access to download in Excel. Error occurs when attempting to edit. share also affected.,Corrected folder corrupted. Tested successfully with user.
TKT-00149,OneDrive,P1,Closed,compatibility during software process,compatibility during software process. User has tried reinstalling without success.,Resolved by resetting software. User confirmed working.
TKT-00150,Outlook,P1,Closed,Unable to access file in Outlook,Unable to access file in Outlook. User has tried restarting without success.,Escalated to tier 2. Resolution: denied updated.
TKT-00151,Email,P4,Closed,User unable to authenticate due to failure MFA,User unable to authenticate due to failure MFA. Error occurs when attempting to unlock. reset also affected.,Escalated to vendor support. Resolution: locked updated.
TKT-00152,Outlook,P2,Closed,two-factor locked preventing access to Outlook,two-factor locked preventing access to Outlook. This is impacting project deadlines.,Resolved by resetting two-factor. User confirmed resolved.
TKT-00153,PowerBI,P4,Closed,meeting not send properly,meeting not send properly. Error occurs when attempting to view. delegate and out-of-office also affected.,Escalated to tier 2. Resolution: delegate updated.
TKT-00154,Outlook,P1,Closed,Need help with authentication problem,Need help with authentication problem. This is impacting daily workflow.,Resolved by reinstalling authentication. User confirmed fixed.
TKT-00155,PowerBI,P1,Closed,laptop not working properly,laptop not working properly. This is impacting daily workflow.,Resolved dock defective. Tested successfully with user.
TKT-00156,Excel,P4,Closed,Experiencing hang performance with Excel,Experiencing hang performance with Excel. User has tried clearing cache without success.,Deployed fix. Issue no longer occurring.
TKT-00157,Smartsheet,P1,Closed,Unable to download permission in Smartsheet,Unable to download permission in Smartsheet. Error occurs when attempting to download. folder also affected.,Applied update. Issue no longer occurring.
TKT-00158,Smartsheet,P1,Closed,Request to access locked for user account,Request to access locked for user account. User has tried reinstalling without success.,Implemented update. Issue no longer occurring.
TKT-00159,PowerBI,P2,Closed,Permission denied when move sync,Permission denied when move sync. User has tried clearing cache without success.,Escalated to tier 2. Resolution: share reconfigured.
TKT-00160,OneDrive,P1,Closed,Request software update assistance,Request software update assistance. User reports license error affecting productivity.,Escalated to vendor support. Resolution: patch reconfigured.
TKT-00161,Teams,P2,Closed,compatibility during application process,compatibility during application process. Error occurs when attempting to deploy. install and activation also affected.,Fixed installation error. Tested successfully with user.
TKT-00162,Excel,P3,Closed,Cannot create chart from Excel,Cannot create chart from Excel. User has tried restarting without success.,Resolved by resetting chart. User confirmed resolved.
TKT-00163,Outlook,P4,Closed,connection dropped affecting Outlook access,connection dropped affecting Outlook access. Error occurs when attempting to maintain. latency and VPN also affected.,Deployed configuration change. Issue no longer occurring.
TKT-00164,PowerBI,P2,Closed,Request to access locked for user account,Request to access locked for user account. User reports account expired affecting productivity.,Resolved by updating locked. User confirmed fixed.
TKT-00165,PowerBI,P1,Closed,PowerBI hang when typing,PowerBI hang when typing. This is impacting project deadlines.,Escalated to tier 2. Resolution: delay replaced.
TKT-00166,SharePoint,P1,Closed,version compatibility when attempting upgrade,version compatibility when attempting upgrade. User has tried updating without success.,Applied patch. Issue no longer occurring.
TKT-00167,PowerBI,P3,Closed,Request to reset account for user account,Request to reset account for user account. This is impacting team collaboration.,Escalated to vendor support. Resolution: account reconfigured.
TKT-00168,PowerBI,P1,Closed,PowerBI delay and problem,PowerBI delay and problem. This is impacting client communication.,Resolved by reinstalling delay. User confirmed fixed.
TKT-00169,Smartsheet,P3,Closed,software issue when attempting install,software issue when attempting install. User has tried restarting without success.,Deployed patch. Issue no longer occurring.
TKT-00170,Excel,P3,Closed,Cannot view data from Excel,Cannot view data from Excel. Error occurs when attempting to view. chart also affected.,Resolved by resetting data. User confirmed fixed.
TKT-00171,Teams,P3,Closed,authentication failure preventing access to Teams,authentication failure preventing access to Teams. User has tried restarting without success.,Escalated to vendor support. Resolution: MFA updated.
TKT-00172,OneDrive,P1,Closed,Application lag during normal use,Application lag during normal use. User reports slow performance affecting productivity.,Escalated to vendor support. Resolution: lag reconfigured.
TKT-00173,Smartsheet,P4,Closed,Permission denied when download denied,Permission denied when download denied. Error occurs when attempting to delete. upload also affected.,Applied fix. Issue no longer occurring.
TKT-00174,SharePoint,P2,Closed,Request install activate assistance,Request install activate assistance. This is impacting daily workflow.,Deployed configuration change. Issue no longer occurring.
TKT-00175,Excel,P1,Closed,Unable to edit sync in Excel,Unable to edit sync in Excel. Error occurs when attempting to delete. upload and folder also affected.,Fixed document missing. Tested successfully with user.
TKT-00176,OneDrive,P4,Closed,Request to authenticate MFA for user account,Request to authenticate MFA for user account. User reports two-factor problem affecting productivity.,Implemented configuration change. Issue no longer occurring.
TKT-00177,Teams,P3,Closed,email not send properly,email not send properly. User reports sync synchronization affecting productivity.,Applied configuration change. Issue no longer occurring.
TKT-00178,PowerBI,P4,Closed,Unable to download access in PowerBI,Unable to download access in PowerBI. This is impacting daily workflow.,Implemented fix. Issue no longer occurring.
TKT-00179,PowerBI,P3,Closed,Request software update assistance,Request software update assistance. Error occurs when attempting to update. update and install also affected.,Corrected install compatibility. Tested successfully with user.
TKT-00180,OneDrive,P1,Closed,Cannot connect due to offline blocked,Cannot connect due to offline blocked. User has tried updating without success.,Applied update. Issue no longer occurring.
