ticket_id,product,priority,status,short_description,description,closed_notes
TKT-00039,OneDrive,P1,Closed,Request access to file in OneDrive,Request access to file in OneDrive. User has tried clearing cache without success.,Deployed fix. Issue no longer occurring.
TKT-00040,OneDrive,P2,Closed,Cannot send delegate in OneDrive,Cannot send delegate in OneDrive. User has tried restarting without success.,Resolved by updating delegate. User confirmed resolved.
TKT-00041,Outlook,P3,Closed,delegate not sync properly,delegate not sync properly. User has tried updating without success.,Resolved by resetting delegate. User confirmed fixed.
TKT-00042,Excel,P3,Closed,Experiencing crash issue with Excel,Experiencing crash issue with Excel. Error occurs when attempting to loading. unresponsive also affected.,Escalated to tier 2. Resolution: crash reconfigured.
TKT-00043,Teams,P2,Closed,Request learn for Teams customize,Request learn for Teams customize. User has tried updating without success.,Resolved by resetting learn. User confirmed fixed.
TKT-00044,OneDrive,P3,Closed,Issue with calendar display,Issue with calendar display. User reports attachment permissions affecting productivity.,Escalated to tier 2. Resolution: appointment updated.
TKT-00045,Excel,P3,Closed,Need help with expired failure,Need help with expired failure. User reports locked problem affecting productivity.,Escalated to specialist team. Resolution: reset reconfigured.
TKT-00046,Smartsheet,P2,Closed,Smartsheet unresponsive and issue,Smartsheet unresponsive and issue. Error occurs when attempting to opening. freeze and crash also affected.,Applied fix. Issue no longer occurring.
TKT-00047,Teams,P1,Closed,Intermittent bandwidth dropped,Intermittent bandwidth dropped. User reports network failure affecting productivity.,Deployed patch. Issue no longer occurring.
TKT-00048,Smartsheet,P4,Closed,Issue with receive delivery,Issue with receive delivery. Error occurs when attempting to access. out-of-office and delegate also affected.,Implemented patch. Issue no longer occurring.
TKT-00049,Teams,P1,Closed,problem during patch process,problem during patch process. User reports install problem affecting productivity.,Deployed fix. Issue no longer occurring.
TKT-00050,Email,P3,Closed,Need learn on how to configure in Email,Need learn on how to configure in Email. This is impacting daily workflow.,Resolved by reinstalling learn. User confirmed working.
TKT-00051,PowerBI,P2,Closed,network error affecting PowerBI access,network error affecting PowerBI access. User has tried updating without success.,Fixed connection error. Tested successfully with user.
TKT-00052,Outlook,P2,Closed,Request access to access in Outlook,Request access to access in Outlook. User reports access failure affecting productivity.,Corrected folder failure. Tested successfully with user.
TKT-00053,Email,P2,Closed,Issue with sync display,Issue with sync display. This is impacting client communication.,Fixed email synchronization. Tested successfully with user.
TKT-00054,Excel,P3,Closed,Cannot update visualization from Excel,Cannot update visualization from Excel. User reports query incomplete affecting productivity.,Escalated to vendor support. Resolution: chart updated.
TKT-00055,Excel,P4,Closed,Request to login locked for user account,Request to login locked for user account. Error occurs when attempting to access. credential and MFA also affected.,Implemented configuration change. Issue no longer occurring.
TKT-00056,PowerBI,P3,Closed,unlock issue preventing access to PowerBI,unlock issue preventing access to PowerBI. User reports locked error affecting productivity.,Implemented update. Issue no longer occurring.
TKT-00057,Email,P1,Closed,Intermittent firewall timeout,Intermittent firewall timeout. Error occurs when attempting to maintain. VPN also affected.,Escalated to tier 2. Resolution: connectivity updated.
TKT-00058,Excel,P3,Closed,send not receive properly,send not receive properly. Error occurs when attempting to view. receive and email also affected.,Corrected calendar display. Tested successfully with user.
TKT-00059,PowerBI,P4,Closed,Issue with appointment permissions,Issue with appointment permissions. This is impacting client communication.,Escalated to vendor support. Resolution: email reconfigured.
TKT-00060,PowerBI,P2,Closed,Intermittent disconnect failure,Intermittent disconnect failure. User reports firewall timeout affecting productivity.,Resolved offline dropped. Tested successfully with user.
TKT-00061,Outlook,P4,Closed,Request patch deploy assistance,Request patch deploy assistance. User has tried restarting without success.,Fixed application problem. Tested successfully with user.
TKT-00062,Smartsheet,P3,Closed,Need assistance with out-of-office view,Need assistance with out-of-office view. This is impacting team collaboration.,Escalated to tier 2. Resolution: out-of-office updated.
TKT-00063,Email,P4,Closed,Email unavailable due to offline problem,Email unavailable due to offline problem. This is impacting team collaboration.,Applied patch. Issue no longer occurring.
TKT-00064,OneDrive,P4,Closed,Cannot send send in OneDrive,Cannot send send in OneDrive. This is impacting project deadlines.,Corrected calendar display. Tested successfully with user.
TKT-00065,Teams,P1,Closed,Need to activate activation for Teams,Need to activate activation for Teams. Error occurs when attempting to install. patch also affected.,Escalated to vendor support. Resolution: application reconfigured.
TKT-00066,PowerBI,P1,Closed,Need help refresh filter,Need help refresh filter. This is impacting project deadlines.,Resolved by updating filter. User confirmed working.
TKT-00067,Smartsheet,P1,Closed,Cannot generate chart from Smartsheet,Cannot generate chart from Smartsheet. Error occurs when attempting to refresh. dashboard and query also affected.,Resolved by reinstalling chart. User confirmed fixed.
TKT-00068,PowerBI,P1,Closed,Need assistance with send view,Need assistance with send view. User has tried clearing cache without success.,Resolved by reconfiguring send. User confirmed working.
TKT-00069,Outlook,P4,Closed,document denied when trying to access,document denied when trying to access. User has tried updating without success.,Resolved by reinstalling document. User confirmed working.
TKT-00070,Email,P4,Closed,charger failure preventing work,charger failure preventing work. User has tried updating without success.,Resolved device broken. Tested successfully with user.
TKT-00071,Excel,P4,Closed,Excel slow when scrolling,Excel slow when scrolling. User has tried reinstalling without success.,Corrected performance performance. Tested successfully with user.
TKT-00072,OneDrive,P2,Closed,locked problem preventing access to OneDrive,locked problem preventing access to OneDrive. User has tried updating without success.,Resolved password locked. Tested successfully with user.
TKT-00073,Smartsheet,P1,Closed,Request access to share in Smartsheet,Request access to share in Smartsheet. User has tried reinstalling without success.,Corrected denied error. Tested successfully with user.
TKT-00074,Excel,P2,Closed,Need to activate activation for Excel,Need to activate activation for Excel. User has tried reinstalling without success.,Implemented update. Issue no longer occurring.
TKT-00075,SharePoint,P4,Closed,Cannot connect due to connectivity error,Cannot connect due to connectivity error. User reports timeout timeout affecting productivity.,Escalated to vendor support. Resolution: connection replaced.
TKT-00076,Teams,P2,Closed,receive not access properly,receive not access properly. Error occurs when attempting to send. meeting also affected.,Resolved by reconfiguring receive. User confirmed working.
TKT-00077,OneDrive,P4,Closed,Request license update assistance,Request license update assistance. This is impacting team collaboration.,Escalated to vendor support. Resolution: software updated.
TKT-00078,SharePoint,P3,Closed,Request access to access in SharePoint,Request access to access in SharePoint. User has tried restarting without success.,Escalated to vendor support. Resolution: document replaced.
TKT-00079,Email,P3,Closed,appointment not sync properly,appointment not sync properly. This is impacting team collaboration.,Fixed attachment permissions. Tested successfully with user.
TKT-00080,Teams,P4,Closed,Request upgrade install assistance,Request upgrade install assistance. Error occurs when attempting to deploy. install also affected.,Resolved by reinstalling upgrade. User confirmed fixed.
TKT-00081,Email,P3,Closed,software failure when attempting deploy,software failure when attempting deploy. User reports activation problem affecting productivity.,Applied fix. Issue no longer occurring.
TKT-00082,Excel,P3,Closed,MFA locked preventing access to Excel,MFA locked preventing access to Excel. User has tried clearing cache without success.,Resolved password problem. Tested successfully with user.
TKT-00083,Teams,P2,Closed,out-of-office not send properly,out-of-office not send properly. User reports out-of-office display affecting productivity.,Resolved delegate loading. Tested successfully with user.
TKT-00084,OneDrive,P3,Closed,Application unresponsive during normal use,Application unresponsive during normal use. This is impacting daily workflow.,Resolved by updating unresponsive. User confirmed resolved.
TKT-00085,Excel,P1,Closed,inbox not forward properly,inbox not forward properly. User reports attachment delivery affecting productivity.,Applied configuration change. Issue no longer occurring.
TKT-00086,PowerBI,P3,Closed,Request access to download in PowerBI,Request access to download in PowerBI. This is impacting project deadlines.,Applied patch. Issue no longer occurring.
TKT-00087,SharePoint,P1,Closed,Experiencing hang performance with SharePoint,Experiencing hang performance with SharePoint. User has tried reinstalling without success.,Resolved by resetting hang. User confirmed resolved.
TKT-00088,Outlook,P1,Closed,Issue with meeting permissions,Issue with meeting permissions. User reports out-of-office display affecting productivity.,Resolved meeting delivery. Tested successfully with user.
TKT-00089,OneDrive,P1,Closed,password problem preventing access to OneDrive,password problem preventing access to OneDrive. User has tried clearing cache without success.,Implemented configuration change. Issue no longer occurring.
TKT-00090,Smartsheet,P4,Closed,Request installation configure assistance,Request installation configure assistance. User reports installation compatibility affecting productivity.,Escalated to specialist team. Resolution: activation updated.
TKT-00091,Excel,P3,Closed,Need replacement monitor,Need replacement monitor. Error occurs when attempting to charging. charger and hardware also affected.,Deployed patch. Issue no longer occurring.
TKT-00092,Email,P2,Closed,Cannot forward appointment in Email,Cannot forward appointment in Email. This is impacting client communication.,Escalated to specialist team. Resolution: send replaced.
TKT-00093,Email,P4,Closed,Request access to download in Email,Request access to download in Email. User has tried updating without success.,Escalated to specialist team. Resolution: denied reconfigured.
TKT-00094,Outlook,P4,Closed,Request access to upload in Outlook,Request access to upload in Outlook. Error occurs when attempting to upload. access also affected.,Applied configuration change. Issue no longer occurring.
TKT-00095,Outlook,P4,Closed,Request access to download in Outlook,Request access to download in Outlook. User reports file missing affecting productivity.,Escalated to specialist team. Resolution: document reconfigured.
TKT-00096,Smartsheet,P3,Closed,Issue with meeting display,Issue with meeting display. User reports attachment synchronization affecting productivity.,Resolved by reconfiguring meeting. User confirmed fixed.
TKT-00097,OneDrive,P1,Closed,OneDrive lag when loading,OneDrive lag when loading. User reports crash problem affecting productivity.,Resolved by updating lag. User confirmed working.
TKT-00098,SharePoint,P3,Closed,Unable to upload permission in SharePoint,Unable to upload permission in SharePoint. Error occurs when attempting to delete. document also affected.,Resolved share denied. Tested successfully with user.
TKT-00099,PowerBI,P4,Closed,Request access to share in PowerBI,Request access to share in PowerBI. User has tried updating without success.,Escalated to specialist team. Resolution: denied replaced.
TKT-00100,Teams,P3,Closed,Request to unlock authentication for user account,Request to unlock authentication for user account. User has tried clearing cache without success.,Resolved by reconfiguring authentication. User confirmed working.
